ID,Name,Glottocode,Glottolog_Name,Region,Latitude,Longitude
Maiyu,Maiyu,mayu1240,Mayu,Northeast Africa,10.473464,34.540485
Fadashi,Fadashi,fada1248,Fadashi,Northeast Africa,9.585863,34.677096
Undulu,Undulu,undu1236,Undu,Northeast Africa,10.314359,34.778879
BelejeGonfoye,Beleje Gonfoye,goba1245,Gobato,Northeast Africa,9.097105,36.203337
