ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,AmharicGloss
Fadashi-19_elephant-1,,Fadashi,19_elephant,mɛdege,mɛdege,m ɛ d e g e,,Bremer2016,,,^ m ɛ d e g e $,default,ዝሆን
Undulu-19_elephant-1,,Undulu,19_elephant,alfîl,alfîl,a l f î/i l,,Bremer2016,,,^ a l f î l $,default,ዝሆን
BelejeGonfoye-19_elephant-1,,BelejeGonfoye,19_elephant,metɪkeː,metɪkeː,m e t ɪ k eː,,Bremer2016,,,^ m e t ɪ k eː $,default,ዝሆን
Maiyu-20_thursday-1,,Maiyu,20_thursday,al hamís,al_hamís,a l + h a m í/i s,,Bremer2016,,,^ a l _ h a m í s $,default,ሐሙሰ
Fadashi-20_thursday-1,,Fadashi,20_thursday,alhamís,alhamís,a l h a m í/i s,,Bremer2016,,,^ a lh a m í s $,default,ሐሙሰ
Undulu-20_thursday-1,,Undulu,20_thursday,alhamís,alhamís,a l h a m í/i s,,Bremer2016,,,^ a lh a m í s $,default,ሐሙሰ
BelejeGonfoye-20_thursday-1,,BelejeGonfoye,20_thursday,laːri kəmɪso,laːri_kəmɪso,l aː r i + k ə m ɪ s o,,Bremer2016,,,^ l aː r i _ k ə m ɪ s o $,default,ሐሙሰ
Maiyu-21_bespoiledrotten-1,,Maiyu,21_bespoiledrotten,s’ʊwí,s’ʊwí,s ʔ ʊ w í/i,,Bremer2016,,,^ s ’ ʊ w í $,default,በሰበሰ
Fadashi-21_bespoiledrotten-1,,Fadashi,21_bespoiledrotten,suːwaʔi,suːwaʔi,s uː w a ʔ i,,Bremer2016,,,^ s uː w a ʔ i $,default,በሰበሰ
Undulu-21_bespoiledrotten-1,,Undulu,21_bespoiledrotten,rohé,rohé,r o h é/e,,Bremer2016,,,^ r o h é $,default,በሰበሰ
BelejeGonfoye-21_bespoiledrotten-1,,BelejeGonfoye,21_bespoiledrotten,t͡ʃ’uwé,t͡ʃ’uwé,tʃ ʔ u w é/e,,Bremer2016,,,^ t͡ʃ ’ u w é $,default,በሰበሰ
Maiyu-22_whirlwinddirtdevil-1,,Maiyu,22_whirlwinddirtdevil,ʃɛbaro,ʃɛbaro,ʃ ɛ b a r o,,Bremer2016,,,^ ʃ ɛ b a r o $,default,አዉለንፋስ
Fadashi-22_whirlwinddirtdevil-1,,Fadashi,22_whirlwinddirtdevil,ʃɛboro,ʃɛboro,ʃ ɛ b o r o,,Bremer2016,,,^ ʃ ɛ b o r o $,default,አዉለንፋስ
Undulu-22_whirlwinddirtdevil-1,,Undulu,22_whirlwinddirtdevil,adurdur,adurdur,a d u r d u r,,Bremer2016,,,^ a d u r d u r $,default,አዉለንፋስ
BelejeGonfoye-22_whirlwinddirtdevil-1,,BelejeGonfoye,22_whirlwinddirtdevil,awːulé,awːulé,a wː u l é/e,,Bremer2016,,,^ a wː u l é $,default,አዉለንፋስ
Maiyu-23_prayerandworship-1,,Maiyu,23_prayerandworship,"al ʔibáda, aːsɛla",al_ʔibáda,a l + ʔ i b á/a d a,,Bremer2016,,,^ a l _ ʔ i b á d a $,default,ጸሎትና አምልኮ
Maiyu-23_prayerandworship-2,,Maiyu,23_prayerandworship,"al ʔibáda, aːsɛla",aːsɛla,aː s ɛ l a,,Bremer2016,,,^ aː s ɛ l a $,default,ጸሎትና አምልኮ
Fadashi-23_prayerandworship-1,,Fadashi,23_prayerandworship,aːsɛla,aːsɛla,aː s ɛ l a,,Bremer2016,,,^ aː s ɛ l a $,default,ጸሎትና አምልኮ
Undulu-23_prayerandworship-1,,Undulu,23_prayerandworship,aːsɛlaʔ,aːsɛlaʔ,aː s ɛ l a ʔ,,Bremer2016,,,^ aː s ɛ l a ʔ $,default,ጸሎትና አምልኮ
BelejeGonfoye-23_prayerandworship-1,,BelejeGonfoye,23_prayerandworship,wɛgɛra,wɛgɛra,w ɛ g ɛ r a,,Bremer2016,,,^ w ɛ g ɛ r a $,default,ጸሎትና አምልኮ
Maiyu-24_paper-1,,Maiyu,24_paper,al wárga,al_wárga,a l + w á/a r g a,,Bremer2016,,,^ a l _ w á r g a $,default,ወረቀት
Fadashi-24_paper-1,,Fadashi,24_paper,alwarəga,alwarəga,a l w a r ə g a,,Bremer2016,,,^ a lw a r ə g a $,default,ወረቀት
Undulu-24_paper-1,,Undulu,24_paper,alfaraga,alfaraga,a l f a r a g a,,Bremer2016,,,^ a l f a r a g a $,default,ወረቀት
BelejeGonfoye-24_paper-1,,BelejeGonfoye,24_paper,dodo be,dodo_be,d o d o + b e,,Bremer2016,,,^ d o d o _ b e $,default,ወረቀት
Maiyu-25_mother-1,,Maiyu,25_mother,amːá,amːá,a mː á/a,,Bremer2016,,,^ a mː á $,default,የእኔ እናት
Fadashi-25_mother-1,,Fadashi,25_mother,amːá,amːá,a mː á/a,,Bremer2016,,,^ a mː á $,default,የእኔ እናት
Undulu-25_mother-1,,Undulu,25_mother,áːʔó,áːʔó,áː/aː ʔ ó/o,,Bremer2016,,,^ áː ʔ ó $,default,የእኔ እናት
BelejeGonfoye-25_mother-1,,BelejeGonfoye,25_mother,dadi,dadi,d a d i,,Bremer2016,,,^ d a d i $,default,የእኔ እናት
Maiyu-26_send-1,,Maiyu,26_send,agɛna,agɛna,a g ɛ n a,,Bremer2016,,,^ a g ɛ n a $,default,ላክ
Fadashi-26_send-1,,Fadashi,26_send,̄nɛbenːa,̄nɛbenːa,n ɛ b e nː a,,Bremer2016,,,^ ̄n ɛ b e nː a $,default,ላክ
Undulu-26_send-1,,Undulu,26_send,hɛ́ːbena,hɛ́ːbena,h ɛ́ː/ɛ b e n a,,Bremer2016,,,^ h ɛ́ː b e n a $,default,ላክ
BelejeGonfoye-26_send-1,,BelejeGonfoye,26_send,jebɛne,jebɛne,j e b ɛ n e,,Bremer2016,,,^ j e b ɛ n e $,default,ላክ
Maiyu-27_imprisontieup-1,,Maiyu,27_imprisontieup,"sɛ́gɛna, ɗɔːʃa",sɛ́gɛna,s ɛ́/ɛ g ɛ n a,,Bremer2016,,,^ s ɛ́ g ɛ n a $,default,ቀጣ
Maiyu-27_imprisontieup-2,,Maiyu,27_imprisontieup,"sɛ́gɛna, ɗɔːʃa",ɗɔːʃa,ɗ ɔː ʃ a,,Bremer2016,,,^ ɗ ɔː ʃ a $,default,ቀጣ
Fadashi-27_imprisontieup-1,,Fadashi,27_imprisontieup,ɗoːʃa,ɗoːʃa,ɗ oː ʃ a,,Bremer2016,,,^ ɗ oː ʃ a $,default,ቀጣ
Undulu-27_imprisontieup-1,,Undulu,27_imprisontieup,ɗóːʃɛfa,ɗóːʃɛfa,ɗ óː/oː ʃ ɛ f a,,Bremer2016,,,^ ɗ óːʃ ɛ f a $,default,ቀጣ
BelejeGonfoye-27_imprisontieup-1,,BelejeGonfoye,27_imprisontieup,ɗosɛne,ɗosɛne,ɗ o s ɛ n e,,Bremer2016,,,^ ɗ o s ɛ n e $,default,ቀጣ
Maiyu-28_tasty-1,,Maiyu,28_tasty,s’ɛbí,s’ɛbí,s ʔ ɛ b í/i,,Bremer2016,,,^ s ’ ɛ b í $,default,ጣፍጧል
Fadashi-28_tasty-1,,Fadashi,28_tasty,s’oːbí,s’oːbí,s ʔ oː b í/i,,Bremer2016,,,^ s ’ oː b í $,default,ጣፍጧል
Undulu-28_tasty-1,,Undulu,28_tasty,nɛgɛnɛge,nɛgɛnɛge,n ɛ g ɛ n ɛ g e,,Bremer2016,,,^ n ɛ g ɛ n ɛ g e $,default,ጣፍጧል
BelejeGonfoye-28_tasty-1,,BelejeGonfoye,28_tasty,tʃ’oɓɛneʲa,tʃ’oɓɛneʲa,tʃ ʔ o ɓ ɛ n eʲ/ei̯ a,,Bremer2016,,,^ tʃ ’ o ɓ ɛ n eʲ a $,default,ጣፍጧል
Maiyu-29_darken-1,,Maiyu,29_darken,ámilu aŋ,ámilu_aŋ,á/a m i l u + a ŋ,,Bremer2016,,,^ á m i l u _ a ŋ $,default,አጨለመ
Fadashi-29_darken-1,,Fadashi,29_darken,aːmíle,aːmíle,aː m í/i l e,,Bremer2016,,,^ aː m í l e $,default,አጨለመ
Undulu-29_darken-1,,Undulu,29_darken,amːbúwé,amːbúwé,a mː b ú/u w é/e,,Bremer2016,,,^ a mː b ú w é $,default,አጨለመ
BelejeGonfoye-29_darken-1,,BelejeGonfoye,29_darken,aŋʲa milowe,aŋʲa_milowe,a ŋʲ a + m i l o w e,,Bremer2016,,,^ a ŋʲ a _ m i l o w e $,default,አጨለመ
Maiyu-30_dryseason-1,,Maiyu,30_dryseason,amɔːzó,amɔːzó,a m ɔː z ó/o,,Bremer2016,,,^ a m ɔː z ó $,default,በጋ
Fadashi-30_dryseason-1,,Fadashi,30_dryseason,aːmoːsó,aːmoːsó,aː m oː s ó/o,,Bremer2016,,,^ aː m oː s ó $,default,በጋ
Undulu-30_dryseason-1,,Undulu,30_dryseason,aiyedʒɛlu,aiyedʒɛlu,a i y e dʒ ɛ l u,,Bremer2016,,,^ a i y e dʒ ɛ l u $,default,በጋ
BelejeGonfoye-30_dryseason-1,,BelejeGonfoye,30_dryseason,la mundʒoʷ,la_mundʒoʷ,l a + m u n dʒ oʷ/ou̯,,Bremer2016,,,^ l a _ m u n dʒ oʷ $,default,በጋ
Maiyu-31_sisterinlaw-1,,Maiyu,31_sisterinlaw,amʊ́dudú,amʊ́dudú,a m ʊ́/ʊ d u d ú/u,,Bremer2016,,,^ a m ʊ́ d u d ú $,default,የሚስት እህት (ምራት)
Fadashi-31_sisterinlaw-1,,Fadashi,31_sisterinlaw,máːʃí,máːʃí,m áː/aː ʃ í/i,,Bremer2016,,,^ m áː ʃ í $,default,የሚስት እህት (ምራት)
Undulu-31_sisterinlaw-1,,Undulu,31_sisterinlaw,máːʃí,máːʃí,m áː/aː ʃ í/i,,Bremer2016,,,^ m áː ʃ í $,default,የሚስት እህት (ምራት)
BelejeGonfoye-31_sisterinlaw-1,,BelejeGonfoye,31_sisterinlaw,mːbá maːsí,mːbá_maːsí,mː b á/a + m aː s í/i,,Bremer2016,,,^ mː b á _ m aː s í $,default,የሚስት እህት (ምራት)
Maiyu-32_maize-1,,Maiyu,32_maize,amʊ́lːé,amʊ́lːé,a m ʊ́/ʊ lː é/e,,Bremer2016,,,^ a m ʊ́ lː é $,default,በቆሎ
Fadashi-32_maize-1,,Fadashi,32_maize,sil bɛgaru,sil_bɛgaru,s i l + b ɛ g a r u,,Bremer2016,,,^ s i l _ b ɛ g a r u $,default,በቆሎ
Undulu-32_maize-1,,Undulu,32_maize,sɛrábu,sɛrábu,s ɛ r á/a b u,,Bremer2016,,,^ s ɛ r á b u $,default,በቆሎ
BelejeGonfoye-32_maize-1,,BelejeGonfoye,32_maize,laː ɲiɲdolo,laː_ɲiɲdolo,l aː + ɲ i ɲ d o l o,,Bremer2016,,,^ l aː _ ɲ i ɲ d o l o $,default,በቆሎ
Maiyu-33_chicks-1,,Maiyu,33_chicks,p’íːpíʲó,p’íːpíʲó,p ʔ íː/iː p íʲ/i ó/o,,Bremer2016,,,^ p ’ íː p íʲ ó $,default,ጫጩት
Fadashi-33_chicks-1,,Fadashi,33_chicks,bibiyo / mise guːle,bibiyo,b i b i y o,,Bremer2016,,,^ b i b i y o $,default,ጫጩት
Fadashi-33_chicks-2,,Fadashi,33_chicks,bibiyo / mise guːle,mise_guːle,m i s e + g uː l e,,Bremer2016,,,^ m i s e _ g uː l e $,default,ጫጩት
Undulu-33_chicks-1,,Undulu,33_chicks,mɪseʔ biːle,mɪseʔ_biːle,m ɪ s e ʔ + b iː l e,,Bremer2016,,,^ m ɪ s e ʔ _ b iː l e $,default,ጫጩት
BelejeGonfoye-33_chicks-1,,BelejeGonfoye,33_chicks,ɓiɓiʲo,ɓiɓiʲo,ɓ i ɓ iʲ/i o,,Bremer2016,,,^ ɓ i ɓ iʲ o $,default,ጫጩት
Maiyu-34_open-1,,Maiyu,34_open,pʊːdá,pʊːdá,p ʊː d á/a,,Bremer2016,,,^ p ʊː d á $,default,ከፈተ
Fadashi-34_open-1,,Fadashi,34_open,ɓʊːdá,ɓʊːdá,ɓ ʊː d á/a,,Bremer2016,,,^ ɓ ʊː d á $,default,ከፈተ
Undulu-34_open-1,,Undulu,34_open,ɓuːdaː,ɓuːdaː,ɓ uː d aː,,Bremer2016,,,^ ɓ uː d aː $,default,ከፈተ
BelejeGonfoye-34_open-1,,BelejeGonfoye,34_open,ɓudɛne,ɓudɛne,ɓ u d ɛ n e,,Bremer2016,,,^ ɓ u d ɛ n e $,default,ከፈተ
Maiyu-35_tellmakeknown-1,,Maiyu,35_tellmakeknown,p’ulá,p’ulá,p ʔ u l á/a,,Bremer2016,,,^ p ’ u l á $,default,ነገረ
Fadashi-35_tellmakeknown-1,,Fadashi,35_tellmakeknown,"ɓula, doːra",ɓula,ɓ u l a,,Bremer2016,,,^ ɓ u l a $,default,ነገረ
Fadashi-35_tellmakeknown-2,,Fadashi,35_tellmakeknown,"ɓula, doːra",doːra,d oː r a,,Bremer2016,,,^ d oː r a $,default,ነገረ
Undulu-35_tellmakeknown-1,,Undulu,35_tellmakeknown,θórógáː,θórógáː,θ ó/o r ó/o g áː/aː,,Bremer2016,,,^ θ ó r ó g áː $,default,ነገረ
BelejeGonfoye-35_tellmakeknown-1,,BelejeGonfoye,35_tellmakeknown,ɓuleʲane,ɓuleʲane,ɓ u l eʲ/ei̯ a n e,,Bremer2016,,,^ ɓ u l eʲ a n e $,default,ነገረ
Maiyu-36_health-1,,Maiyu,36_health,bus’k’é gɔɗa,bus’k’é_gɔɗa,b u s ʔ k ʔ é/e + g ɔ ɗ a,,Bremer2016,,,^ b u s ’ k ’ é _ g ɔ ɗ a $,default,ጤና
Fadashi-36_health-1,,Fadashi,36_health,eːgoːɗa,eːgoːɗa,eː g oː ɗ a,,Bremer2016,,,^ eː g oː ɗ a $,default,ጤና
